County,2010,2011,2012,2013,2014,2015,2016,2017,Selected Years Total
Pierce,621.7,735.2,615.6,580.8,547.6,382.1,406.9,398.8,535.1
Pike,273.7,253.5,331.3,292.2,376.7,223,206.2,186.6,267.6
Polk,534.6,623.6,738.1,594.9,731.8,618.9,579.3,608.3,628.4
Pulaski,392,255.6,273,303.2,365.8,254.5,346.6,303.5,312
Putnam,349,580.9,613.3,725.3,722,810.2,791.5,750.1,668.3
Quitman,277.7,*,*,*,*,*,0,*,104.9
Rabun,393.1,264.2,386.6,184.8,197,239.5,338.2,192.7,274.5
Randolph,"1,715.20","1,323.10","1,323.90","1,056.00","1,121.30","1,070.50","1,170.40","1,371.00","1,272.70"
Richmond,"1,099.00","1,086.90","1,074.60",993.5,"1,131.30","1,020.80","1,094.50","1,040.10","1,067.50"
Rockdale,516.2,510.7,693.3,665,766.9,695.5,674.8,695.4,653.2
Schley,618.8,358.6,320.6,353.7,174.3,232.2,176.5,134.3,294.5
Screven,786.2,835.2,697.1,639,731.3,706.1,818.9,680.9,737.1
Seminole,286.5,511.9,469.4,469.5,426,636.1,543.2,554.8,486.3
Spalding,426,943.3,870.6,697.2,812.7,713.5,790.1,659.2,738.9
Stephens,454.3,246.5,274.2,233.6,294.3,383,427.2,374.7,336.2
Stewart,214.8,101.5,*,426,626.7,324.7,350.6,467.8,318.1
Sumter,502.8,442.9,646.5,621.7,537.9,425.6,411.3,358.5,494.6
Talbot,409.1,370.3,721.2,619.6,547.7,631.2,567.2,592.1,555
Taliaferro,588.9,293.6,"1,131.00",939.5,"1,358.50","2,257.50","1,192.70",921.4,"1,079.70"
Tattnall,500.3,401,413.6,329.1,432.1,420.2,414.5,422.4,416.6
Taylor,572.3,482.4,498.8,389.9,533,300.1,510.2,466.7,470
Telfair,363.7,286.5,318.1,168.8,254.3,237.8,294.4,250.2,271.5
Terrell,590.1,568.7,685.5,731.5,678.9,449.9,356.9,527,574
Thomas,656.7,666.6,545.6,686.4,656.2,656.9,521.6,433.2,602.9
Tift,500.8,465.5,445.6,426.9,258,44.2,379.6,524.7,380.6
Toombs,685.1,634.2,593.1,751.7,637.8,660.8,764.8,540.8,658.6
Towns,429.1,442.9,419.2,362.1,198.2,277.2,359.9,304.2,347.3
Treutlen,494.5,468.9,458,327.8,560.6,619,482.1,638,506.3
Troup,608.7,668.5,717.1,663.3,637.7,690.9,747.1,719.3,682
Turner,491.6,315.5,642.1,639.3,343.4,73,597.8,791.4,484.1
Twiggs,501.8,478.4,734,601.3,721.2,464.8,783.3,599.5,608.3
Union,281.1,359.6,554.8,310.7,163.8,260.5,226.8,170.5,288.4
Upson,708.8,708,784.8,809.3,716,625.8,607.6,543.3,688.5
Walker,146.9,149.6,251.1,206.8,167.1,179.2,278.4,245.1,202.9
Walton,459.5,406.7,446.9,481.6,551.3,588.2,626.5,459.6,503.8
Ware,"1,125.50","1,132.30","1,180.90",968.9,802.5,667.2,615.6,618.9,890.4
Warren,620.3,839,"1,237.00","1,097.50","1,231.90","1,190.50",845.3,754.3,975.5
Washington,657,677.4,684.9,759.3,765.7,658.1,679.5,605.5,686
